unit: MeV
spectrum:
0.05 9.296e-12
0.15 1.629e-11
0.25 2.008e-11
0.35 2.254e-11
0.45 2.424e-11
0.55 2.53e-11
0.65 2.575e-11
0.75 2.58e-11
0.85 2.566e-11
0.95 2.529e-11
1.05 2.473e-11
1.15 2.403e-11
1.25 2.322e-11
1.35 2.233e-11
1.45 2.138e-11
1.55 2.04e-11
1.65 1.939e-11
1.75 1.838e-11
1.85 1.736e-11
1.95 1.637e-11
2.05 1.539e-11
2.15 1.444e-11
2.25 1.351e-11
2.35 1.262e-11
2.45 1.177e-11
2.55 1.095e-11
2.65 1.018e-11
2.75 9.444e-12
2.85 8.753e-12
2.95 8.105e-12
3.05 7.5e-12
3.15 6.939e-12
3.25 6.419e-12
3.35 5.938e-12
3.45 5.496e-12
3.55 5.089e-12
3.65 4.717e-12
3.75 4.375e-12
3.85 4.051e-12
3.95 3.737e-12
4.05 3.443e-12
4.15 3.183e-12
4.25 2.955e-12
4.35 2.746e-12
4.45 2.531e-12
4.55 2.326e-12
4.65 2.136e-12
4.75 1.96e-12
4.85 1.796e-12
4.95 1.644e-12
5.05 1.503e-12
5.15 1.371e-12
5.25 1.248e-12
5.35 1.134e-12
5.45 1.027e-12
5.55 9.264e-13
5.65 8.333e-13
5.75 7.499e-13
5.85 6.767e-13
5.95 6.134e-13
6.05 5.6e-13
6.15 5.125e-13
6.25 4.648e-13
6.35 4.177e-13
6.45 3.699e-13
6.55 3.211e-13
6.65 2.734e-13
6.75 2.332e-13
6.85 2.067e-13
6.95 1.862e-13
7.05 1.676e-13
7.15 1.509e-13
7.25 1.357e-13
7.35 1.221e-13
7.45 1.098e-13
7.55 9.868e-14
7.65 8.869e-14
7.75 7.966e-14
7.85 7.155e-14
7.95 6.424e-14
8.05 5.765e-14
8.15 5.171e-14
8.25 4.641e-14
8.35 4.16e-14
8.45 3.731e-14
8.55 3.344e-14
8.65 2.997e-14
8.75 2.683e-14
8.85 2.404e-14
8.95 2.152e-14
9.05 1.926e-14
9.15 1.725e-14
9.25 1.542e-14
9.35 1.382e-14
9.45 1.233e-14
9.55 1.104e-14
9.65 9.866e-15
9.75 8.815e-15
9.85 7.878e-15
9.95 7.048e-15
