unit: MeV
spectrum:
0.05 1.048e-11
0.15 1.933e-11
0.25 2.904e-11
0.35 3.773e-11
0.45 5.97e-11
0.55 7.566e-11
0.65 5.819e-11
0.75 4.082e-11
0.85 4.785e-11
0.95 5.244e-11
1.05 5.487e-11
1.15 5.468e-11
1.25 5.009e-11
1.35 4.387e-11
1.45 3.744e-11
1.55 3.111e-11
1.65 2.644e-11
1.75 2.457e-11
1.85 2.377e-11
1.95 2.36e-11
2.05 2.415e-11
2.15 2.403e-11
2.25 2.307e-11
2.35 2.2e-11
2.45 2.166e-11
2.55 2.088e-11
2.65 1.965e-11
2.75 1.805e-11
2.85 1.673e-11
2.95 1.555e-11
3.05 1.446e-11
3.15 1.335e-11
3.25 1.198e-11
3.35 1.04e-11
3.45 9.221e-12
3.55 8.259e-12
3.65 7.488e-12
3.75 6.794e-12
3.85 6.106e-12
3.95 5e-12
4.05 4.146e-12
4.15 3.726e-12
4.25 3.313e-12
4.35 2.847e-12
4.45 2.356e-12
4.55 1.843e-12
4.65 1.311e-12
4.75 7.81e-13
4.85 5.73e-13
4.95 5.156e-13
5.05 4.55e-13
5.15 3.976e-13
5.25 3.566e-13
5.35 3.29e-13
5.45 2.862e-13
5.55 2.369e-13
5.65 1.862e-13
5.75 1.511e-13
5.85 1.392e-13
5.95 1.264e-13
6.05 1.121e-13
6.15 9.305e-14
6.25 7.083e-14
6.35 4.747e-14
6.45 3.417e-14
6.55 3.073e-14
6.65 2.704e-14
6.75 2.309e-14
6.85 1.884e-14
6.95 1.442e-14
7.05 9.748e-15
7.15 4.904e-15
7.25 2.32e-15
7.35 2.072e-15
7.45 1.833e-15
7.55 1.654e-15
7.65 1.493e-15
7.75 1.335e-15
7.85 1.179e-15
7.95 1.039e-15
8.05 9.577e-16
8.15 8.878e-16
8.25 8.194e-16
8.35 7.54e-16
8.45 6.9e-16
8.55 6.198e-16
8.65 5.434e-16
8.75 4.69e-16
8.85 3.987e-16
8.95 3.322e-16
9.05 2.683e-16
9.15 2.069e-16
9.25 1.482e-16
9.35 9.241e-17
9.45 3.902e-17
9.55 1.649e-18
9.65 0
9.75 0
9.85 0
9.95 0
