unit: MeV
spectrum:
0.05 9.088e-12
0.15 1.591e-11
0.25 1.961e-11
0.35 2.2e-11
0.45 3.992e-11
0.55 5.414e-11
0.65 4.223e-11
0.75 2.527e-11
0.85 2.512e-11
0.95 2.472e-11
1.05 2.414e-11
1.15 2.344e-11
1.25 2.266e-11
1.35 2.18e-11
1.45 2.089e-11
1.55 1.992e-11
1.65 1.893e-11
1.75 1.793e-11
1.85 1.693e-11
1.95 1.595e-11
2.05 1.499e-11
2.15 1.406e-11
2.25 1.316e-11
2.35 1.229e-11
2.45 1.146e-11
2.55 1.067e-11
2.65 9.917e-12
2.75 9.201e-12
2.85 8.526e-12
2.95 7.89e-12
3.05 7.291e-12
3.15 6.73e-12
3.25 6.205e-12
3.35 5.714e-12
3.45 5.256e-12
3.55 4.83e-12
3.65 4.435e-12
3.75 4.068e-12
3.85 3.729e-12
3.95 3.414e-12
4.05 3.124e-12
4.15 2.856e-12
4.25 2.609e-12
4.35 2.381e-12
4.45 2.172e-12
4.55 1.98e-12
4.65 1.804e-12
4.75 1.642e-12
4.85 1.494e-12
4.95 1.358e-12
5.05 1.234e-12
5.15 1.121e-12
5.25 1.017e-12
5.35 9.225e-13
5.45 8.362e-13
5.55 7.577e-13
5.65 6.861e-13
5.75 6.21e-13
5.85 5.619e-13
5.95 5.081e-13
6.05 4.594e-13
6.15 4.152e-13
6.25 3.749e-13
6.35 3.385e-13
6.45 3.054e-13
6.55 2.754e-13
6.65 2.482e-13
6.75 2.236e-13
6.85 2.014e-13
6.95 1.815e-13
7.05 1.634e-13
7.15 1.47e-13
7.25 1.323e-13
7.35 1.19e-13
7.45 1.07e-13
7.55 9.619e-14
7.65 8.645e-14
7.75 7.764e-14
7.85 6.974e-14
7.95 6.261e-14
8.05 5.62e-14
8.15 5.041e-14
8.25 4.524e-14
8.35 4.055e-14
8.45 3.637e-14
8.55 3.26e-14
8.65 2.921e-14
8.75 2.615e-14
8.85 2.343e-14
8.95 2.098e-14
9.05 1.877e-14
9.15 1.681e-14
9.25 1.503e-14
9.35 1.347e-14
9.45 1.202e-14
9.55 1.076e-14
9.65 9.616e-15
9.75 8.592e-15
9.85 7.679e-15
9.95 6.87e-15
